name,address,city,province,lat,lng
Sojourn House,101 Ontario Street,Toronto,ON,43.6545597,-79.3665735
Sojourn House(Singles),101 Ontario Street,Toronto,ON,43.6545597,-79.3665735
Sojourn House-Grange (Family),101 Ontario Street,Toronto,ON,43.6545597,-79.3665735
St.Simon's 525 Bloor Street East,525 Bloor Street East,Toronto,ON,43.6717544,-79.373702
Street Haven - 87 Pembroke St,87 Pembroke St,Toronto,ON,43.65921900000001,-79.37235129999999
TCH 191 Spadina Rd(Singles),191 Spadina Road,Toronto,ON,43.6736075,-79.4063139
Tor. Comm. Hostel 191 Spadina Rd,191 Spadina Road,Toronto,ON,43.6736075,-79.4063139
Turning Point Youth Services,95 Wellesley St. E.,Toronto,ON,43.6658254,-79.3792474
Womens Res-Alexandra Hotel,Womens Res-Alexandra Hotel,Toronto,ON,43.6475,-79.3832
Womens' Res - 63 Bellwoods Ave.,63 Bellwoods Ave.,Toronto,ON,43.64800109999999,-79.4113564
Womens' Res - 674 Dundas St. W,674 Dundas St. W,Toronto,ON,43.65197209999999,-79.40368409999999
YMCA Sprott House Walmer Rd,YMCA Sprott House Walmer Rd,Toronto,ON,43.6475,-79.3832
YWCA - 348 Davenport Road Women,348 Davenport Road,Toronto,ON,43.6754118,-79.4013331
YWCA - 348 Davenport Road Youth,348 Davenport Road,Toronto,ON,43.6754118,-79.4013331
YWCA-80 Woodlawn Av. E.-Women,80 Woodlawn Av. E.,Toronto,ON,43.6846902,-79.3898478
YWCA-80 Woodlawn Ave. E.-Youth,80 Woodlawn Ave. E.,Toronto,ON,43.6846902,-79.3898478
Yhouse - Vanauley,Yhouse - Vanauley,Toronto,ON,43.6475,-79.3832
Youth w/o Shelter Emerg Shelter,Youth w/o Shelter Emerg Shelter,Toronto,ON,43.6475,-79.3832
Youth w/o Shltr Transitional Res,Youth w/o Shltr Transitional Res,Toronto,ON,43.6475,-79.3832
YouthLink - 747 Warden Ave,747 Warden Ave,Toronto,ON,43.71790319999999,-79.28289079999999
